id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,20,170,12.208893276326446,1.6326540035420818,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
Holm-Sidak,Protected,0 min,0 min,4,12,-0.17854033004592382,-0.3709813019527931,0.9999988304946243,2,170,0.05,False
,,0 min,2.5 m,4,11,-2.5637502589065004,-5.2675842002165645,2.897654732214594e-05,,,,True
,,0 min,5 m,4,11,-2.4565974519933422,-5.047423741629092,7.774875194288544e-05,,,,True
,,0 min,7.5 m,4,11,-1.505679258300381,-3.0936290475499613,0.10308585823476157,,,,False
,,0 min,0 min,4,10,-0.17270072003255343,-0.35019922971197714,0.9999988304946243,,,,False
,,2.5 m,2.5 m,4,11,1.1623712013939236,2.3882545321949316,0.48046138672638306,,,,False
,,2.5 m,5 m,4,11,1.2695240083070818,2.608414990782405,0.32177133498482136,,,,False
,,2.5 m,7.5 m,4,11,2.2204422020000427,4.562209684861535,0.0006179582102140424,,,,True
,,2.5 m,0 min,4,10,3.5534207402678706,7.205558875781214,1.4032588424583992e-09,,,,True
,,2.5 m,2.5 m,4,12,0.6990466693821902,1.4525191225224208,0.9884258717417417,,,,False
,,5 m,2.5 m,4,11,0.6826084162433923,1.40251465440015,0.9900812408234784,,,,False
,,5 m,5 m,4,11,0.7897612231565505,1.6226751129876233,0.9618429528539714,,,,False
,,5 m,7.5 m,4,11,1.7406794168495117,3.5764698070667538,0.023766786297825027,,,,True
,,5 m,0 min,4,10,3.0736579551173393,6.232705040704445,2.482959258198747e-07,,,,True
,,7.5 m,2.5 m,4,11,0.15889914147004003,0.3264805548542649,0.9999988304946243,,,,False
,,7.5 m,5 m,4,11,0.26605194838319823,0.5466410134417382,0.9999892855835353,,,,False
,,7.5 m,7.5 m,4,11,1.2169701420761594,2.5004357075208685,0.3918417836924194,,,,False
,,7.5 m,0 min,4,10,2.549948680343987,5.17073735125836,4.4816638127942454e-05,,,,True
,,10 m,2.5 m,4,11,-0.01675323655276273,-0.03442187235720217,0.9999988304946243,,,,False
,,10 m,5 m,4,11,0.09039957036039548,0.1857385862302711,0.9999988304946243,,,,False
,,10 m,7.5 m,4,11,1.0413177640533566,2.1395332803094016,0.6895545207785295,,,,False
,,10 m,10 m,4,12,1.3412876096056405,2.787004054359373,0.2162388030998037,,,,False
,,10 m,0 min,4,10,2.3742963023211843,4.814552805710041,0.00021404564402838222,,,,True
,,10 m,10 m,4,12,0.5970466100830458,1.2405775696624841,0.9946495162322346,,,,False
,,15 m,2.5 m,4,11,-0.4749486973779853,-0.9758486598023023,0.9992701956475748,,,,False
,,15 m,5 m,4,11,-0.3677958904648271,-0.755688201214829,0.9998755526342994,,,,False
,,15 m,7.5 m,4,11,0.5831223032281341,1.1981064928643013,0.9949756685209066,,,,False
,,15 m,0 min,4,10,1.9161008414959617,3.8854327799899897,0.008440850044345583,,,,True
,,20 m,2.5 m,4,11,-0.6603549734288128,-1.3567918374591192,0.992243577598426,,,,False
,,20 m,5 m,4,11,-0.5532021665156546,-1.136631378871646,0.9964880933506933,,,,False
,,20 m,7.5 m,4,11,0.3977160271773066,0.8171633152074843,0.9998117455342378,,,,False
,,20 m,0 min,4,10,1.7306945654451342,3.509469465855995,0.029454435461039763,,,,True
,,0 min,2.5 m,12,11,-2.3852099288605766,-6.854956710056789,9.700383385435885e-09,,,,True
,,0 min,5 m,12,11,-2.2780571219474184,-6.5470056807309716,4.869694836262539e-08,,,,True
,,0 min,7.5 m,12,11,-1.3271389282544572,-3.8141212609161683,0.010828253225983131,,,,True
,,0 min,0 min,12,10,0.005839610013370376,0.0163613143045534,0.9999988304946243,,,,False
,,2.5 m,5 m,11,11,0.1071528069131582,0.30146712359760275,0.9999988304946243,,,,False
,,2.5 m,7.5 m,11,11,1.0580710006061194,2.9768106903002156,0.1368031949573736,,,,False
,,2.5 m,10 m,11,12,1.3580408461584033,3.902931602901652,0.008037690118044671,,,,True
,,2.5 m,15 m,11,12,1.312926172759792,3.7732746157350907,0.012370972418398685,,,,True
